Reginald Androcles Fileas NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who loves deeply, (American) new Williams
Zoyamor Percival Waterfall Gaylord ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (American) waterfall, (French) merry lord; jailer
Reginald Bonito Yorick NeoWilliams ::: (English) king's advisor, (Latin) worthy, (Scandinavian) a form of George, (American) new Williams
Reginald Maro Zoyamor Wright ::: (English) king's advisor, (Japanese) myself, (Greek/Latin/me) lover of all living beings, (English) maker
Maro Renatus Reginald Hodgson ::: (Japanese) myself, (Italian) reborn, (English) king's advisor, (English) son of Roger
Zoyamor Reginald Renatus Gaylord ::: (Greek/Latin/me) lover of all living beings, (English) king's advisor, (Italian) reborn, (French) merry lord; jailer
Reginald Philander Emeterio Waterfall ::: (English) king's advisor, (Greek) lover of mankind, (Greek) he who deserves affection, (American) waterfall
Reginald Fileas Androcles Zoyamor ::: (English) king's advisor, (Greek) he who loves deeply, (Greek) man covered with glory, (Greek/Latin/me) lover of all living beings
Reginald Waterfall Yorick Darwin ::: (English) king's advisor, (American) waterfall, (Scandinavian) a form of George, (English) dear friend
Zoyamor Renatus Wright NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (English) maker, (American) new Williams
Zoyamor Yorick Phoenix NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (English) phoenix, (American) new Williams
Zoyamor Yorick Waterfall Darwin ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (American) waterfall, (English) dear friend
Reginald Emeterio Herodes NeoWilliams ::: (English) king's advisor, (Greek) he who deserves affection, (Greek) the fire dragon, (American) new Williams
Zoyamor Percival Bonito Darwin ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Latin) worthy, (English) dear friend
Reginald Percival Darwin Hodgson ::: (English) king's advisor, (French) pierce the valley, (English) dear friend, (English) son of Roger
Reginald Androcles Percival Darwin ::: (English) king's advisor, (Greek) man covered with glory, (French) pierce the valley, (English) dear friend
Maro Felix Emeterio Hodgson ::: (Japanese) myself, (Latin) fortunate; happy, (Greek) he who deserves affection, (English) son of Roger
Zoyamor Percival Hodgson Darwin ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (English) son of Roger, (English) dear friend
Maro Philander Emeterio Blackburn ::: (Japanese) myself, (Greek) lover of mankind, (Greek) he who deserves affection, (Scottish) black brook
Zoyamor Maro Fileas Wright ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Greek) he who loves deeply, (English) maker
Reginald Waterfall Phoenix Blackburn ::: (English) king's advisor, (American) waterfall, (English) phoenix, (Scottish) black brook
Zoyamor Philander Percival Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (French) pierce the valley, (English) son of Roger
Reginald Felix Waterfall ::: (English) king's advisor, (Latin) fortunate; happy, (American) waterfall
Maro Percival Philander Darwin ::: (Japanese) myself, (French) pierce the valley, (Greek) lover of mankind, (English) dear friend
Reginald Phoenix Philander Blackburn ::: (English) king's advisor, (English) phoenix, (Greek) lover of mankind, (Scottish) black brook
Reginald Bonito Emeterio Darwin ::: (English) king's advisor, (Latin) worthy, (Greek) he who deserves affection, (English) dear friend
Zoyamor Emeterio Gaylord Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (French) merry lord; jailer, (Scottish) black brook
Reginald Felix Bonito Wright ::: (English) king's advisor, (Latin) fortunate; happy, (Latin) worthy, (English) maker
Zoyamor Yorick Fileas Waterfall ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (Greek) he who loves deeply, (American) waterfall
Zoyamor Percival Quigley Wright ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Irish) maternal side, (English) maker
Zoyamor Quigley Philander Wright ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (Greek) lover of mankind, (English) maker
Reginald Quigley Herodes Darwin ::: (English) king's advisor, (Irish) maternal side, (Greek) the fire dragon, (English) dear friend
Reginald Quigley Waterfall NeoWilliams ::: (English) king's advisor, (Irish) maternal side, (American) waterfall, (American) new Williams
Reginald Quigley Maro Wright ::: (English) king's advisor, (Irish) maternal side, (Japanese) myself, (English) maker
Zoyamor Emeterio Gaylord Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (French) merry lord; jailer, (English) son of Roger
Zoyamor Phoenix Felix Wright ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (Latin) fortunate; happy, (English) maker
Reginald Emeterio Androcles Zoyamor ::: (English) king's advisor, (Greek) he who deserves affection, (Greek) man covered with glory, (Greek/Latin/me) lover of all living beings
Maro Emeterio Zoyamor Wright ::: (Japanese) myself, (Greek) he who deserves affection, (Greek/Latin/me) lover of all living beings, (English) maker
Maro Percival Waterfall ::: (Japanese) myself, (French) pierce the valley, (American) waterfall
Maro Bonito Zoyamor Gaylord ::: (Japanese) myself, (Latin) worthy, (Greek/Latin/me) lover of all living beings, (French) merry lord; jailer
Zoyamor Renatus Yorick Wright ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (Scandinavian) a form of George, (English) maker
Reginald Herodes Philander Darwin ::: (English) king's advisor, (Greek) the fire dragon, (Greek) lover of mankind, (English) dear friend
Reginald Fileas Phoenix Darwin ::: (English) king's advisor, (Greek) he who loves deeply, (English) phoenix, (English) dear friend
Maro Reginald Blackburn Gaylord ::: (Japanese) myself, (English) king's advisor, (Scottish) black brook, (French) merry lord; jailer
Reginald Renatus Quigley Wright ::: (English) king's advisor, (Italian) reborn, (Irish) maternal side, (English) maker
Reginald Androcles Phoenix Darwin ::: (English) king's advisor, (Greek) man covered with glory, (English) phoenix, (English) dear friend
Reginald Renatus Zoyamor Blackburn ::: (English) king's advisor, (Italian) reborn, (Greek/Latin/me) lover of all living beings, (Scottish) black brook
Reginald Androcles Herodes Zoyamor ::: (English) king's advisor, (Greek) man covered with glory, (Greek) the fire dragon, (Greek/Latin/me) lover of all living beings
Reginald Androcles Phoenix Zoyamor ::: (English) king's advisor, (Greek) man covered with glory, (English) phoenix, (Greek/Latin/me) lover of all living beings
Zoyamor Quigley Waterfall Hodgson ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (American) waterfall, (English) son of Roger
Zoyamor Renatus Felix Hodgson ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (Latin) fortunate; happy, (English) son of Roger
Reginald Yorick Waterfall Wright ::: (English) king's advisor, (Scandinavian) a form of George, (American) waterfall, (English) maker
Zoyamor Bonito Reginald Blackburn ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (English) king's advisor, (Scottish) black brook
Maro Emeterio Percival Gaylord ::: (Japanese) myself, (Greek) he who deserves affection, (French) pierce the valley, (French) merry lord; jailer
Reginald Waterfall Zoyamor Wright ::: (English) king's advisor, (American) waterfall, (Greek/Latin/me) lover of all living beings, (English) maker
Maro Renatus Reginald Blackburn ::: (Japanese) myself, (Italian) reborn, (English) king's advisor, (Scottish) black brook
Maro Bonito Hodgson Blackburn ::: (Japanese) myself, (Latin) worthy, (English) son of Roger, (Scottish) black brook
Zoyamor Renatus Reginald Darwin ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (English) king's advisor, (English) dear friend
Reginald Herodes Fileas Hodgson ::: (English) king's advisor, (Greek) the fire dragon, (Greek) he who loves deeply, (English) son of Roger
Zoyamor Emeterio Herodes Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (Greek) the fire dragon, (English) son of Roger
Reginald Philander Gaylord ::: (English) king's advisor, (Greek) lover of mankind, (French) merry lord; jailer
Reginald Fileas Zoyamor Hodgson ::: (English) king's advisor, (Greek) he who loves deeply, (Greek/Latin/me) lover of all living beings, (English) son of Roger
Reginald Fileas Waterfall Wright ::: (English) king's advisor, (Greek) he who loves deeply, (American) waterfall, (English) maker
Maro Waterfall Philander Blackburn ::: (Japanese) myself, (American) waterfall, (Greek) lover of mankind, (Scottish) black brook
Zoyamor Androcles Percival Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (French) pierce the valley, (English) son of Roger
Reginald Fileas Renatus Waterfall ::: (English) king's advisor, (Greek) he who loves deeply, (Italian) reborn, (American) waterfall
Reginald Philander Hodgson Gaylord ::: (English) king's advisor, (Greek) lover of mankind, (English) son of Roger, (French) merry lord; jailer
Maro Phoenix Waterfall Hodgson ::: (Japanese) myself, (English) phoenix, (American) waterfall, (English) son of Roger
Zoyamor Fileas Gaylord NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (French) merry lord; jailer, (American) new Williams
Maro Percival Wright Blackburn ::: (Japanese) myself, (French) pierce the valley, (English) maker, (Scottish) black brook
Reginald Philander Androcles Waterfall ::: (English) king's advisor, (Greek) lover of mankind, (Greek) man covered with glory, (American) waterfall
Maro Percival Androcles Waterfall ::: (Japanese) myself, (French) pierce the valley, (Greek) man covered with glory, (American) waterfall
Maro Androcles Blackburn ::: (Japanese) myself, (Greek) man covered with glory, (Scottish) black brook
Zoyamor Yorick Hodgson ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (English) son of Roger
Maro Zoyamor Yorick Darwin ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (English) dear friend
Maro Waterfall Percival Hodgson ::: (Japanese) myself, (American) waterfall, (French) pierce the valley, (English) son of Roger
Reginald Bonito Percival NeoWilliams ::: (English) king's advisor, (Latin) worthy, (French) pierce the valley, (American) new Williams
Maro Herodes Bonito NeoWilliams ::: (Japanese) myself, (Greek) the fire dragon, (Latin) worthy, (American) new Williams
Zoyamor Percival Reginald Waterfall ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (English) king's advisor, (American) waterfall
Reginald Maro Phoenix NeoWilliams ::: (English) king's advisor, (Japanese) myself, (English) phoenix, (American) new Williams
Maro Fileas Darwin NeoWilliams ::: (Japanese) myself, (Greek) he who loves deeply, (English) dear friend, (American) new Williams
Zoyamor Bonito Waterfall ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (American) waterfall
Zoyamor Phoenix Felix Blackburn ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (Latin) fortunate; happy, (Scottish) black brook
Reginald Bonito Androcles Hodgson ::: (English) king's advisor, (Latin) worthy, (Greek) man covered with glory, (English) son of Roger
Maro Fileas Emeterio Hodgson ::: (Japanese) myself, (Greek) he who loves deeply, (Greek) he who deserves affection, (English) son of Roger
Maro Yorick Percival Zoyamor ::: (Japanese) myself, (Scandinavian) a form of George, (French) pierce the valley, (Greek/Latin/me) lover of all living beings
Zoyamor Quigley Waterfall Gaylord ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (American) waterfall, (French) merry lord; jailer
Reginald Philander Renatus NeoWilliams ::: (English) king's advisor, (Greek) lover of mankind, (Italian) reborn, (American) new Williams
Reginald Androcles Phoenix NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (English) phoenix, (American) new Williams
Zoyamor Maro Bonito Darwin ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Latin) worthy, (English) dear friend
Zoyamor Emeterio Yorick Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (Scandinavian) a form of George, (American) waterfall
Reginald Yorick Emeterio Blackburn ::: (English) king's advisor, (Scandinavian) a form of George, (Greek) he who deserves affection, (Scottish) black brook
Zoyamor Bonito Philander Gaylord ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Greek) lover of mankind, (French) merry lord; jailer
Zoyamor Yorick Maro Darwin ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (Japanese) myself, (English) dear friend
Zoyamor Felix NeoWilliams Blackburn ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (American) new Williams, (Scottish) black brook
Zoyamor Fileas Herodes Darwin ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Greek) the fire dragon, (English) dear friend
Zoyamor Emeterio Fileas Darwin ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (Greek) he who loves deeply, (English) dear friend
Reginald Renatus Waterfall Darwin ::: (English) king's advisor, (Italian) reborn, (American) waterfall, (English) dear friend
Reginald Percival Wright Gaylord ::: (English) king's advisor, (French) pierce the valley, (English) maker, (French) merry lord; jailer
Reginald Androcles Zoyamor NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (Greek/Latin/me) lover of all living beings, (American) new Williams
Maro Zoyamor Waterfall Blackburn ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (American) waterfall, (Scottish) black brook
Zoyamor Philander Waterfall Darwin ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (American) waterfall, (English) dear friend
